School Number,Board Number,School Name,School Type,School Level,Phone Number,School Website
705055,B67334,École élémentaire catholique Elisabeth-Bruyère,Catholic,Elementary,613-521-0176,http://www.elisabeth-bruyere.ecolecatholique.ca/
864730,B67334,École élémentaire catholique George-Étienne-Cartier,Catholic,Elementary,613-731-6007,http://www.george-etienne-cartier.ecolecatholique.ca
701688,B67334,École élémentaire catholique Horizon-Jeunesse,Catholic,Elementary,613-741-8515,http://www.ecolecatholique.ca/fr/53
722901,B67334,École élémentaire catholique J.-L.-Couroux,Catholic,Elementary,613-521-0607,http://www.j-l-couroux.ecolecatholique.ca/fr/
705136,B67334,École élémentaire catholique Jean-Robert-Gauthier,Catholic,Elementary,613-820-0757,http://www.jean-robert-gauthier.ecolecatholique.ca/
696005,B67334,École élémentaire catholique Jeanne-Lajoie,Catholic,Elementary,613-732-8302,http://www.jeanne-lajoie-elementaire.ecolecatholique.ca/
744957,B67334,École élémentaire catholique Jonathan-Pitre,Catholic,Elementary,,
701670,B67334,École élémentaire catholique L'Envol,Catholic,Elementary,613-392-5590,http://www.lenvol.ecolecatholique.ca/
865648,B67334,École élémentaire catholique L'Étoile-de-l'Est,Catholic,Elementary,613-744-5713,http://www.letoile-de-lest.ecolecatholique.ca/
725536,B67334,École élémentaire catholique La Vérendrye,Catholic,Elementary,613-749-2349,http://www.laverendrye.ecolecatholique.ca
734314,B67334,École élémentaire catholique Laurier-Carrière,Catholic,Elementary,613-224-3211,http://www.laurier-carriere.ecolecatholique.ca/
753157,B67334,École élémentaire catholique Marius-Barbeau,Catholic,Elementary,613-737-4404,http://www.marius-barbeau.ecolecatholique.ca
705420,B67334,École élémentaire catholique Mgr-Rémi-Gaulin,Catholic,Elementary,613-547-6277,http://www.mgr-remi-gaulin.ecolecatholique.ca
732397,B67334,École élémentaire catholique Montfort,Catholic,Elementary,613-745-3310,http://www.montfort.ecolecatholique.ca
761251,B67334,École élémentaire catholique Notre-Dame,Catholic,Elementary,,https://kemptville.ecolecatholique.ca/
735920,B67334,École élémentaire catholique Notre-Dame-des-Champs,Catholic,Elementary,,http://ndc.ecolecatholique.ca/
796656,B67334,École élémentaire catholique Notre-Place,Catholic,Elementary,613-744-1486,http://notre-place.ecolecatholique.ca/
688762,B67334,École élémentaire catholique Pierre-Elliott-Trudeau,Catholic,Elementary,613-521-1560,http://www.pierre-elliott-trudeau.ecolecatholique.ca/
705365,B67334,École élémentaire catholique Reine-des-Bois,Catholic,Elementary,613-744-8647,http://www.reine-des-bois.ecolecatholique.ca/fr/
753203,B67334,École élémentaire catholique Roger-Saint-Denis,Catholic,Elementary,613-521-3815,http://www.roger-saint-denis.ecolecatholique.ca/
793027,B67334,École élémentaire catholique Saint-François-d'Assise,Catholic,Elementary,613-729-1463,http://www.saint-francois-dassise.ecolecatholique.ca/
701971,B67334,École élémentaire catholique Saint-Guillaume,Catholic,Elementary,613-745-5981,http://www.saint-guillaume.ecolecatholique.ca
156159,B67334,École élémentaire catholique Saint-Jean-Paul II,Catholic,Elementary,613-521-7858,http://www.jean-paul-ii.ecolecatholique.ca/
703095,B67334,École élémentaire catholique Saint-Joseph d'Orléans,Catholic,Elementary,613-745-7968,http://www.saint-josephdorleans.ecolecatholique.ca/
752625,B67334,École élémentaire catholique Saint-Rémi,Catholic,Elementary,,http://ecolecatholique.ca/fr/53
860573,B67334,École élémentaire catholique Sainte-Anne,Catholic,Elementary,613-789-3933,http://www.sainte-anne.ecolecatholique.ca/
709387,B67334,École élémentaire catholique Sainte-Bernadette,Catholic,Elementary,613-521-0875,http://www.sainte-bernadette.ecolecatholique.ca/
861871,B67334,École élémentaire catholique Sainte-Geneviève,Catholic,Elementary,613-733-9729,http://www.sainte-genevieve.ecolecatholique.ca/
733402,B67334,École élémentaire catholique Sainte-Kateri,Catholic,Elementary,613-741-6754,http://sainte-kateri.ecolecatholique.ca/
730980,B67334,École élémentaire catholique Sainte-Marguerite-Bourgeoys,Catholic,Elementary,613-521-4213,http://www.sainte-marguerite-bourgeoys.ecolecatholique.ca/
709646,B67334,École élémentaire catholique Sainte-Marie,Catholic,Elementary,613-745-2722,http://www.sainte-marie.ecolecatholique.ca/
740845,B67334,École élémentaire catholique Sainte-Thérèse-d'Avila,Catholic,Elementary,613-745-0282,http://www.sainte-therese-davila.ecolecatholique.ca/
861480,B67334,École élémentaire catholique Terre-des-Jeunes,Catholic,Elementary,613-820-2121,http://www.terre-des-jeunes.ecolecatholique.ca/
703753,B67334,École élémentaire catholique d'enseignement personnalisé La Source,Catholic,Elementary,613-744-8346,http://www.lasource.ecolecatholique.ca/
725633,B67334,École élémentaire catholique d'enseignement personnalisé Lamoureux,Catholic,Elementary,613-731-3713,http://www.lamoureux.ecolecatholique.ca
786634,B67334,École élémentaire catholique d'enseignement personnalisé Édouard-Bond,Catholic,Elementary,613-820-4045,http://www.edouard-bond.ecolecatholique.ca/
695483,B29122,Carrefour Options +,Catholic,Secondary,705-525-0110,http://carrefouroptions.nouvelon.ca/
698989,B29122,Collège Notre-Dame,Catholic,Secondary,705-674-7484,http://cnd.nouvelon.ca/
707511,B29122,École secondaire Notre-Dame-du-Sault,Catholic,Secondary,705-945-5520,http://ndsault.nouvelon.ca/
696048,B29122,École secondaire catholique Champlain,Catholic,Secondary,705-855-9046,http://escchamplain.nouvelon.ca/
705004,B29122,École secondaire catholique Jeunesse-Nord,Catholic,Secondary,705-356-1688,http://escjeunessenord.nouvelon.ca/
755770,B29122,École secondaire catholique La Renaissance,Catholic,Secondary,,
701700,B29122,École secondaire catholique Saint-Joseph,Catholic,Secondary,705-856-2003,http://stjosephwawa.nouvelon.ca/
704970,B29122,École secondaire catholique Trillium,Catholic,Secondary,705-864-1211,http://esctrillium.nouvelon.ca/
771473,B29122,École secondaire catholique l'Horizon,Catholic,Secondary,705-897-2503,http://eschorizon.nouvelon.ca/
705110,B29122,École secondaire du Sacré-Coeur,Catholic,Secondary,705-566-5511,http://essacrecoeur.nouvelon.ca/
871029,B29122,École élémentaire Alliance Saint-Joseph,Catholic,Elementary,705-855-4591,http://alliancestjoseph.nouvelon.ca/
737070,B29122,École élémentaire Notre-Dame,Catholic,Elementary,705-969-4411,http://notredame.nouvelon.ca/
738506,B29122,École élémentaire Notre-Dame-de-la-Merci,Catholic,Elementary,705-694-4402,http://ndmerci.nouvelon.ca/
774379,B29122,École élémentaire Notre-Dame-du-Sault,Catholic,Elementary,705-945-5520,http://ndsault.nouvelon.ca/
754757,B29122,École élémentaire Sacré-Coeur,Catholic,Elementary,705-864-0281,http://sacrecoeur.nouvelon.ca/
717258,B29122,École élémentaire Saint Nom de Jésus,Catholic,Elementary,807-868-2716,http://saintnomdejesus.nouvelon.ca/
774480,B29122,École élémentaire Saint-Antoine,Catholic,Elementary,705-898-2205,http://stantoine.nouvelon.ca/
775169,B29122,École élémentaire Saint-Augustin,Catholic,Elementary,705-693-2424,http://staugustin.nouvelon.ca/
687022,B29122,École élémentaire Saint-Charles-Borromée,Catholic,Elementary,705-867-2052,http://stcharles.nouvelon.ca/
786470,B29122,École élémentaire Saint-Denis,Catholic,Elementary,705-675-1201,http://stdenis.nouvelon.ca/
787329,B29122,École élémentaire Saint-Dominique,Catholic,Elementary,705-566-2616,http://stdominique.nouvelon.ca/
761125,B29122,École élémentaire Saint-Joseph,Catholic,Elementary,705-969-2110,http://stjosephhanmer.nouvelon.ca/
806625,B29122,École élémentaire Saint-Joseph,Catholic,Elementary,705-356-2246,http://stjosephblindriver.nouvelon.ca/
809390,B29122,École élémentaire Saint-Joseph,Catholic,Elementary,705-856-2003,http://stjosephwawa.nouvelon.ca/
811173,B29122,École élémentaire Saint-Joseph,Catholic,Elementary,705-675-1334,http://stjosephsudbury.nouvelon.ca/
811599,B29122,École élémentaire Saint-Joseph,Catholic,Elementary,705-884-2764,http://stjosephdubreuilville.nouvelon.ca/
705403,B29122,École élémentaire Saint-Paul,Catholic,Elementary,705-692-4696,http://stpaul.nouvelon.ca/
846449,B29122,École élémentaire Saint-Pierre,Catholic,Elementary,705-566-5260,http://stpierre.nouvelon.ca/
704962,B29122,École élémentaire Saint-Thomas,Catholic,Elementary,705-967-2700,http://stthomas.nouvelon.ca/
789607,B29122,École élémentaire Saint-Étienne,Catholic,Elementary,705-855-4333,http://stetienne.nouvelon.ca/
860700,B29122,École élémentaire Sainte-Anne,Catholic,Elementary,705-844-2348,http://steanne.nouvelon.ca/
862886,B29122,École élémentaire Sainte-Marie,Catholic,Elementary,705-983-4254,http://stemarie.nouvelon.ca/
762946,B29122,École élémentaire Sainte-Thérèse,Catholic,Elementary,705-969-2306,http://stetherese.nouvelon.ca/
707449,B29122,École élémentaire catholique Félix-Ricard,Catholic,Elementary,705-566-8300,http://felixricard.nouvelon.ca/
738379,B29122,École élémentaire catholique Georges-Vanier,Catholic,Elementary,705-848-2272,http://georgesvanier.nouvelon.ca/
705970,B29122,École élémentaire catholique Jean-Paul II,Catholic,Elementary,705-897-4434,http://jeanpaulii.nouvelon.ca/
841490,B29122,École élémentaire catholique La Renaissance,Catholic,Elementary,,
750518,B29122,École élémentaire catholique Trillium,Catholic,Elementary,705-864-1211,http://esctrillium.nouvelon.ca/
425729,B80020,Campbell Children's School,Hospital,Elementary,905-576-8403,http://www.campbellchildrensschool.ca
704717,B67300,École secondaire catholique E.J.Lajeunesse,Catholic,Secondary,519-972-0071,CscProvidence.ca/EJL
860919,B67300,École secondaire catholique Ste-Trinité,Catholic,Secondary,519-946-0207,http://www.CscProvidence.ca
728772,B67300,École secondaire catholique l'Essor,Catholic,Secondary,519-735-4115,http://www.CscProvidence.ca/lEssor
708500,B67300,École secondaire catholique École secondaire Monseigneur-Bruyère,Catholic,Secondary,519-673-4223,http://www.CscProvidence.ca/Monseigneur-Bruyere
705438,B67300,École secondaire catholique École secondaire Notre-Dame,Catholic,Secondary,226-777-1956,http://www.CscProvidence.ca/Notre-Dame
705101,B67300,École secondaire catholique École secondaire Saint-Dominique-Savio,Catholic,Secondary,519-371-0627,http://www.CscProvidence.ca/Saint-Dominique-Savio
791601,B67300,École secondaire catholique École secondaire Saint-François-Xavier,Catholic,Secondary,519-542-1055,http://www.CscProvidence.ca/Saint-Francois-Xavier
707015,B67300,École secondaire catholique École secondaire de Pain Court,Catholic,Secondary,519-352-1614,http://www.CscProvidence.ca/ESPC
866569,B67300,École élémentaire catholique E.J. Lajeunesse,Catholic,Elementary,,CscProvidence.ca/EJL
707880,B67300,École élémentaire catholique Frère André,Catholic,Elementary,519-471-6680,http://www.CscProvidence.ca/Frere-Andre
708054,B67300,École élémentaire catholique Georges P Vanier,Catholic,Elementary,519-948-9481,http://www.CSCProvidence.ca/Georges-P-Vanier
732400,B67300,École élémentaire catholique Monseigneur Augustin Caron,Catholic,Elementary,519-734-1380,http://www.CscProvidence.ca/Monseigneur-Augustin-Caron
797359,B67300,École élémentaire catholique Monseigneur Jean Noël,Catholic,Elementary,519-966-6670,http://www.CscProvidence.ca/Monseigheur-Jean-Noel
695025,B67300,École élémentaire catholique Monseigneur-Bruyère,Catholic,Elementary,519-673-4223,http://www.CscProvidence.ca/Monseigneur-Bruyere
765865,B67300,École élémentaire catholique Notre-Dame,Catholic,Elementary,226-777-1956,http://www.CscProvidence.ca/Notre-Dame
705349,B67300,École élémentaire catholique Pavillon des Jeunes,Catholic,Elementary,519-727-6044,http://www.CscProvidence.ca/PavillonDesJeunes
768138,B67300,École élémentaire catholique Saint-Ambroise,Catholic,Elementary,519-728-2010,http://www.CscProvidence.ca/Saint-Ambroise
774901,B67300,École élémentaire catholique Saint-Antoine,Catholic,Elementary,519-735-2165,http://www.CscProvidence.ca/Saint-Antoine
787515,B67300,École élémentaire catholique Saint-Edmond,Catholic,Elementary,519-945-0924,http://www.CscProvidence.ca/Saint-Edmond
791288,B67300,École élémentaire catholique Saint-Francis,Catholic,Elementary,519-682-3243,http://www.CscProvidence.ca/Saint-Francis
792187,B67300,École élémentaire catholique Saint-François-Xavier,Catholic,Elementary,519-542-1055,http://www.CscProvidence.ca/Saint-Francois-Xavier
804150,B67300,École élémentaire catholique Saint-Jean-Baptiste,Catholic,Elementary,519-736-6427,http://www.CscProvidence.ca/Saint-Jean-Baptiste
715539,B67300,École élémentaire catholique Saint-Jean-de-Brébeuf,Catholic,Elementary,519-963-1219,http://www.CscProvidence.ca/Saint-Jean-de-Brebeuf
832626,B67300,École élémentaire catholique Saint-Michel,Catholic,Elementary,519-326-6125,http://www.CscProvidence.ca/Saint-Michel
863009,B67300,École élémentaire catholique Saint-Paul,Catholic,Elementary,519-798-3022,http://www.CscProvidence.ca/Saint-Paul
845639,B67300,École élémentaire catholique Saint-Philippe,Catholic,Elementary,519-352-9579,http://www.CscProvidence.ca/Saint-Philippe
855375,B67300,École élémentaire catholique Saint-Thomas-d'Aquin,Catholic,Elementary,519-542-5423,http://www.CscProvidence.ca/Saint-Thomas-dAquin
861170,B67300,École élémentaire catholique Sainte-Catherine,Catholic,Elementary,519-354-2913,http://www.CscProvidence.ca/Sainte-Catherine
730327,B67300,École élémentaire catholique Sainte-Marguerite-Bourgeoys,Catholic,Elementary,519-539-2911,http://www.CscProvidence.ca/Sainte-Marguerite-Bourgeoys
822540,B67300,École élémentaire catholique Sainte-Marie,Catholic,Elementary,519-354-1225,http://www.CscProvidence.ca/Sainte-Marie
863394,B67300,École élémentaire catholique Sainte-Thérèse,Catholic,Elementary,519-945-2628,http://www.CscProvidence.ca/Sainte-Therese
863726,B67300,École élémentaire catholique Sainte-Ursule,Catholic,Elementary,519-726-6114,http://www.CscProvidence.ca/Sainte-Ursule
728659,B67300,École élémentaire catholique St-Dominique-Savio,Catholic,Elementary,519-371-0627,http://www.CscProvidence.ca/Saint-Dominique-Savio
701777,B67300,École élémentaire catholique Ste-Jeanne-d'Arc,Catholic,Elementary,519-457-3141,http://www.CscProvidence.ca/Sainte-Jeanne-dArc
761907,B67300,École élémentaire catholique Ste-Marguerite-d'Youville,Catholic,Elementary,519-735-5766,http://www.CscProvidence.ca/Sainte-Marquerite-dYouville
822786,B67300,École élémentaire catholique l'Essor,Catholic,Elementary,519-735-4115,http://www.CscProvidence.ca/lEssor
069051,B66311,École intermédiaire Pierre-de-Blois,Public,Elementary,613-742-1867,
616160,B66311,École intermédiaire Rivière-Rideau,Public,Elementary,613-258-1555,www.kemptville.cepeo.on.ca
900516,B66311,École publique Centre d'éducation et de formation de,Public,Secondary,613-632-4100,www.cefeo-eoetc.on.ca
922609,B66311,École secondaire des adultes Le Carrefour,Public,Secondary,613-731-7212,carrefour.cepeo.on.ca
891328,B66311,École secondaire publique Campus secondaire l'Héritage,Public,Secondary,,
907430,B66311,École secondaire publique De La Salle,Public,Secondary,613-789-0053,http://www.de-la-salle.cepeo.on.ca
912662,B66311,École secondaire publique Gisèle-Lalonde,Public,Secondary,613-833-0018,http://www.gisele-lalonde.cepeo.on.ca
898582,B66311,École secondaire publique L'Académie de la Seigneurie,Public,Secondary,613-764-0550,www.academiedelaseigneurie.cepeo.on.ca
920550,B66311,École secondaire publique L'Alternative,Public,Secondary,613-745-0369,http://www.alternative.cepeo.on.ca
907464,B66311,École secondaire publique L'Héritage,Public,Secondary,613-933-3318,http://www.heritage.cepeo.on.ca
907480,B66311,École secondaire publique L'Équinoxe,Public,Secondary,613-732-1525,http://www.equinoxe.cepeo.on.ca
949540,B66311,École secondaire publique Le Sommet,Public,Secondary,613-632-6059,http://www.lesommet.cepeo.on.ca
904945,B66311,École secondaire publique Louis-Riel,Public,Secondary,613-590-2233,http://www.louis-riel.cepeo.on.ca
901539,B66311,École secondaire publique Marc-Garneau,Public,Secondary,613-392-6961,http://www.marc-garneau.cepeo.on.ca
930144,B66311,École secondaire publique Maurice-Lapointe,Public,Secondary,613-591-5384,http://www.maurice-lapointe.cepeo.on.ca
907472,B66311,École secondaire publique Mille-Iles,Public,Secondary,613-547-2556,http://www.mille-iles.cepeo.on.ca
907421,B66311,École secondaire publique Omer-Deslauriers,Public,Secondary,613-820-0992,www.deslauriers.cepeo.on.ca
890139,B66311,École secondaire publique Pierre-de-Blois,Public,Secondary,613-825-4232,https://pierre-de-blois.cepeo.on.ca/
903237,B66311,École secondaire publique Rivière-Rideau,Public,Secondary,613-258-1555,https://riviere-rideau.cepeo.on.ca/
488291,B66311,École élémentaire publique Carrefour Jeunesse,Public,Elementary,613-446-1248,http://www.carrefour-jeunesse.cepeo.on.ca/
412597,B66311,École élémentaire publique Charlotte Lemieux,Public,Elementary,613-225-1113,http://www.charlotte-lemieux.cepeo.on.ca/
000230,B66311,École élémentaire publique Cité Jeunesse,Public,Elementary,613-392-6961,http://www.cite-jeunesse.cepeo.on.ca
079839,B66311,École élémentaire publique De la Rivière Castor,Public,Elementary,613-443-2226,http://www.riviere-castor.cepeo.on.ca/
138681,B66311,École élémentaire publique De la Salle,Public,Elementary,613-789-0053,www.de-la-salle.cepeo.on.ca
417726,B66311,École élémentaire publique Des Sentiers,Public,Elementary,613-834-4453,www.des-sentiers.cepeo.on.ca
419796,B66311,École élémentaire publique Francojeunesse,Public,Elementary,613-232-0020,http://www.francojeunesse.cepeo.on.ca/Ecole/
204986,B66311,École élémentaire publique Gabrielle-Roy,Public,Elementary,613-733-8301,www.gabrielle-roy.cepeo.on.ca
215970,B66311,École élémentaire publique Gisèle-Lalonde,Public,Elementary,613-833-0018,http://www.gisele-lalonde.cepeo.on.ca
287180,B66311,École élémentaire publique Grande-Ourse,Public,Elementary,613-270-1043,http://www.kanata.cepeo.on.ca
194239,B66311,École élémentaire publique Jeanne-Sauvé,Public,Elementary,613-824-9217,http://www.jeanne-sauve.cepeo.on.ca/
196502,B66311,École élémentaire publique L'Académie de la Seigneurie,Public,Elementary,613-764-0550,www.academiedelaseigneurie.cepeo.on.ca
302864,B66311,École élémentaire publique L'Héritage,Public,Elementary,613-933-3318,http://www.heritage.cepeo.on.ca
156108,B66311,École élémentaire publique L'Odyssée,Public,Elementary,613-834-2097,http://www.odyssee.cepeo.on.ca
439568,B66311,École élémentaire publique L'Équinoxe,Public,Elementary,613-732-1525,http://www.equinoxe.cepeo.on.ca
540030,B66311,École élémentaire publique Le Prélude,Public,Elementary,613-834-8411,http://www.prelude.cepeo.on.ca
313190,B66311,École élémentaire publique Le Sommet,Public,Elementary,613-632-6059,http://www.lesommet.cepeo.on.ca
323187,B66311,École élémentaire publique Louis-Riel,Public,Elementary,613-590-2233,http://www.louis-riel.cepeo.on.ca
242420,B66311,École élémentaire publique Louise-Arbour,Public,Elementary,,http://www.centre-nord.cepeo.on.ca
384771,B66311,École élémentaire publique Madeleine-de-Roybon,Public,Elementary,613-547-2556,http://www.madeleine-de-roybon.cepeo.on.ca
167811,B66311,École élémentaire publique Mamawi,Public,Elementary,613-596-2130,https://mamawi.cepeo.on.ca/
488550,B66311,École élémentaire publique Marc-Garneau,Public,Elementary,613-392-6961,www.marc-garneau.cepeo.on.ca
164852,B66311,École élémentaire publique Marie-Curie,Public,Elementary,613-523-4975,http://www.marie-curie.cepeo.on.ca
247352,B66311,École élémentaire publique Maurice-Lapointe,Public,Elementary,613-591-5384,http://www.maurice-lapointe.cepeo.on.ca
156051,B66311,École élémentaire publique Mauril-Bélanger,Public,Elementary,613-744-8523,www.trillium.cepeo.on.ca
327445,B66311,École élémentaire publique Michaëlle-Jean,Public,Elementary,613-823-2288,www.michaelle-jean.cepeo.on.ca
530457,B66311,École élémentaire publique Michel-Dupuis,Public,Elementary,613-742-1867,https://michel-dupuis.cepeo.on.ca/
064491,B66311,École élémentaire publique Mille-Iles,Public,Elementary,613-547-2556,http://www.mille-iles.cepeo.on.ca
250627,B66311,École élémentaire publique Nouvel Horizon,Public,Elementary,613-632-8718,http://www.nouvel-horizon.cepeo.on.ca
156035,B66311,École élémentaire publique Omer-Deslauriers,Public,Elementary,613-820-0992,www.deslauriers.cepeo.on.ca
208944,B66311,École élémentaire publique Rivière-Rideau,Public,Elementary,613-258-1555,www.kemptville.cepeo.on.ca
383392,B66311,École élémentaire publique Rose des Vents,Public,Elementary,613-932-4183,http://www.rose-des-vents.cepeo.on.ca
195774,B66311,École élémentaire publique Séraphin-Marion,Public,Elementary,613-748-7636,http://www.seraphin-marion.cepeo.on.ca
383376,B66311,École élémentaire publique Terre des Jeunes,Public,Elementary,613-525-1843,http://www.terre-des-jeunes.cepeo.on.ca/
559458,B66311,École élémentaire publique Trille des Bois,Public,Elementary,613-746-6911,www.trille-des-bois.cepeo.on.ca
SC0302,B66311,École élémentaire publique ÉÉP Barrhaven-Manotick,Public,Elementary,,
000590,B66150,A K Wigg Public School,Public,Elementary,905-892-2605,http://akwigg.dsbn.org/
890200,B66150,A N Myer Secondary School,Public,Secondary,905-358-5753,http://anmyer.dsbn.org/
505005,B66150,Applewood Public School,Public,Elementary,905-684-4359,http://applewood.dsbn.org/
070661,B66150,Burleigh Hill Public School,Public,Elementary,905-227-6641,http://burleighhill.dsbn.org/
073784,B66150,Caistor Central Public School,Public,Elementary,905-957-7473,http://caistor.dsbn.org/
084700,B66150,Carleton Public School,Public,Elementary,905-934-5243,http://carleton.dsbn.org/
094978,B66150,Central Public School,Public,Elementary,905-945-5459,http://central.dsbn.org/
105767,B66150,Cherrywood Acres Public School,Public,Elementary,905-356-2801,http://cherrywood.dsbn.org/
121754,B66150,Connaught Public School,Public,Elementary,905-682-6609,http://connaught.dsbn.org/
235750,B66150,Crossroads Public School,Public,Elementary,,http://crossroads.dsbn.org/
547449,B66150,DSBN Academy,Public,Elementary,,http://academy.dsbn.org/
935455,B66150,DSBN Academy,Public,Secondary,905-684-8708,
131890,B66150,Dalewood Public School,Public,Elementary,905-934-3325,http://dalewood.dsbn.org/
139823,B66150,DeWitt Carter Public School,Public,Elementary,905-834-7440,http://dewittcarter.dsbn.org/
001793,B66150,Diamond Trail Public School,Public,Elementary,,
156418,B66150,E I McCulley Public School,Public,Elementary,905-934-7344,http://eimcculley.dsbn.org/
906328,B66150,E L Crossley Secondary School,Public,Secondary,905-892-2635,http://elcrossley.dsbn.org/
906972,B66150,Eastdale Secondary School,Public,Secondary,905-734-7458,http://www.eastdale.ca/
907677,B66150,Eden High School,Public,Secondary,905-646-9884,http://www.eden.dsbn.org
165956,B66150,Edith Cavell Public School,Public,Elementary,905-684-6545,http://edithcavell.dsbn.org/
195596,B66150,Ferndale Public School,Public,Elementary,905-684-1101,http://ferndale.dsbn.org/
197416,B66150,Fitch Street Public School,Public,Elementary,905-732-3683,http://fitchstreet.dsbn.org/
326785,B66150,Forestview Public School,Public,Elementary,905-354-6261,http://forestview.dsbn.org/
207810,B66150,Gainsborough Central Public School,Public,Elementary,905-386-6223,http://gainsborough.dsbn.org/
210358,B66150,Garrison Road Public School,Public,Elementary,905-871-4830,http://garrisonroad.dsbn.org/
218600,B66150,Glendale Public School,Public,Elementary,905-735-5213,http://glendale.dsbn.org/
201138,B66150,Glynn A Green Public School,Public,Elementary,905-892-3821,http://glynnagreen.dsbn.org/
221856,B66150,Gordon Public School,Public,Elementary,905-734-3730,http://gordon.dsbn.org/
914010,B66150,Governor Simcoe Secondary School,Public,Secondary,905-934-4006,http://govsimcoe.dsbn.org/
225754,B66150,Gracefield Public School,Public,Elementary,905-934-1411,http://gracefield.dsbn.org/
226556,B66150,Grand Avenue Public School,Public,Elementary,905-945-2227,http://grandave.dsbn.org/
228010,B66150,Grapeview Public School,Public,Elementary,905-984-5517,http://grapeview.dsbn.org/
897646,B66150,Greater Fort Erie Secondary School,Public,Secondary,,
229520,B66150,Greendale Public School,Public,Elementary,905-358-8111,http://greendale.dsbn.org/
294037,B66150,Harriet Tubman Public School,Public,Elementary,,
254223,B66150,Heximer Avenue Public School,Public,Elementary,905-356-0932,http://heximer.dsbn.org/
281000,B66150,Jacob Beam Public School,Public,Elementary,905-563-8209,http://jacobbeam.dsbn.org/
281654,B66150,James Morden Public School,Public,Elementary,905-358-5011,http://jamesmorden.dsbn.org/
264237,B66150,Jeanne Sauve Public School,Public,Elementary,,
001649,B66150,John Brant Public School,Public,Elementary,,
283991,B66150,John Marshall Public School,Public,Elementary,905-358-3711,http://jmarshall.dsbn.org/
287660,B66150,Kate S Durdan Public School,Public,Elementary,905-356-0488,http://katedurdan.dsbn.org/
304921,B66150,Lakeview Public School,Public,Elementary,905-945-5427,http://lakeview.dsbn.org/
921750,B66150,Laura Secord Secondary School,Public,Secondary,905-934-8501,http://secord.dsbn.edu.on.ca/
922854,B66150,Lifetime Learning Centre Secondary School,Public,Secondary,905-646-3737,http://www.dsbn.edu.on.ca/llc
313114,B66150,Lincoln Centennial Public School,Public,Elementary,905-937-5110,http://lincolncent.dsbn.org/
318086,B66150,Lockview Public School,Public,Elementary,905-934-3331,http://lockview.dsbn.org/
SC0501,B66150,Marshville Public School,Public,Elementary,,
344834,B66150,Martha Cullimore Public School,Public,Elementary,905-358-5142,http://marthac.dsbn.org/
352500,B66150,McKay Public School,Public,Elementary,905-834-4753,http://mckay.dsbn.org/
382868,B66150,Nelles Public School,Public,Elementary,905-945-8022,http://nelles.dsbn.org/
414514,B66150,Oakridge Public School,Public,Elementary,905-684-6589,http://oakridge.dsbn.org/
414905,B66150,Oakwood Public School,Public,Elementary,905-834-9732,http://oakwood.dsbn.org/
417521,B66150,Ontario Public School,Public,Elementary,905-227-2851,http://ontario.dsbn.org/
419320,B66150,Orchard Park Public School,Public,Elementary,905-354-3916,http://orchardpark.dsbn.org/
433357,B66150,Park Public School,Public,Elementary,905-945-2445,http://park.dsbn.org/
436747,B66150,Parnall Public School,Public,Elementary,905-934-3348,http://parnall.dsbn.org/
557773,B66150,Peace Bridge Public School,Public,Elementary,905-871-5962,http://peacebridge.dsbn.org/
514780,B66150,Pine Grove Public School,Public,Elementary,905-935-1901,http://pinegrove.dsbn.org/
449350,B66150,Plymouth Public School,Public,Elementary,905-732-4110,http://plymouth.dsbn.org/
935700,B66150,Port Colborne High School,Public,Secondary,905-835-1186,http://porthigh.dsbn.org/
451568,B66150,Port Weller Public School,Public,Elementary,905-934-3322,http://portweller.dsbn.org/
452084,B66150,Power Glen School,Public,Elementary,905-684-7429,http://powerglen.dsbn.org/
455989,B66150,Prince Philip Public School,Public,Elementary,905-934-2525,http://princephilipn.dsbn.org/
456110,B66150,Prince Philip Public School,Public,Elementary,905-356-0521,http://princephilips.dsbn.org/
455075,B66150,Prince of Wales Public School,Public,Elementary,905-937-2225,http://princewalesn.dsbn.org/
455202,B66150,Prince of Wales Public School,Public,Elementary,905-227-1321,http://princewaless.dsbn.org/
457540,B66150,Princess Elizabeth Public School,Public,Elementary,905-734-3460,http://princesseliz.dsbn.org/
458066,B66150,Princess Margaret Public School,Public,Elementary,905-354-2333,http://princessm.dsbn.org/
461415,B66150,Quaker Road Public School,Public,Elementary,905-732-5412,http://quakerroad.dsbn.org/
483117,B66150,Richmond Street Public School,Public,Elementary,905-227-2971,http://richmond.dsbn.org/
485365,B66150,River View Public School,Public,Elementary,905-295-3251,http://riverview.dsbn.org/
491861,B66150,Ross Public School,Public,Elementary,905-734-4273,http://ross.dsbn.org/
505382,B66150,Senator Gibson Public School,Public,Elementary,905-563-7431,http://senatorgibson.dsbn.org/
514748,B66150,Simcoe Street Public School,Public,Elementary,905-358-9121,http://simcoestreet.dsbn.org/
942464,B66150,Sir Winston Churchill Secondary School,Public,Secondary,905-684-6349,http://sirwinston.dsbn.org/
517453,B66150,Smith Public School,Public,Elementary,905-945-8014,http://smith.dsbn.org/
117722,B66150,Smithville Public School,Public,Elementary,905-957-7024,
944157,B66150,St Catharines Collegiate Institute and Vocational School,Public,Secondary,905-687-7301,http://collegiate.dsbn.org/
529648,B66150,St Davids Public School,Public,Elementary,905-262-4533,http://stdavids.dsbn.org/
