School Number,Board Number,School Name,School Type,School Level,Street,Municipality,City,Province,Postal Code,Fax Number,Latitude,Longitude,Phone Number,School Website
860919,B67300,École secondaire catholique Ste-Trinité,Catholic,Secondary,875 Ouellette avenue,Windsor,Windsor,Ontario,N9A4J6,519-948-4013,42.31371,-83.0365,519-946-0207,http://www.CscProvidence.ca
728772,B67300,École secondaire catholique l'Essor,Catholic,Secondary,13605 St.Gregory chemin,Tecumseh,Tecumseh,Ontario,N8N3E4,519-735-5577,42.31441,-82.863,519-735-4115,http://www.CscProvidence.ca/lEssor
708500,B67300,École secondaire catholique École secondaire Monseigneur-Bruyère,Catholic,Secondary,920 Huron rue,London,London,Ontario,N5Y4K4,519-675-0788,43.015767,-81.232874,519-673-4223,http://www.CscProvidence.ca/Monseigneur-Bruyere
705438,B67300,École secondaire catholique École secondaire Notre-Dame,Catholic,Secondary,700 Bristol rue,Woodstock,Woodstock,Ontario,N4T0E4,,43.1493,-80.7151,226-777-1956,http://www.CscProvidence.ca/Notre-Dame
705101,B67300,École secondaire catholique École secondaire Saint-Dominique-Savio,Catholic,Secondary,800 23e est rue,Owen Sound,Owen Sound,Ontario,N4K6Z5,226-277-0035,44.56422,-80.9251,519-371-0627,http://www.CscProvidence.ca/Saint-Dominique-Savio
791601,B67300,École secondaire catholique École secondaire Saint-François-Xavier,Catholic,Secondary,901 Les Rapides promenade,Sarnia,Sarnia,Ontario,N7S6K2,519-542-2841,42.99336,-82.3537,519-542-1055,http://www.CscProvidence.ca/Saint-Francois-Xavier
707015,B67300,École secondaire catholique École secondaire de Pain Court,Catholic,Secondary,14 Notre Dame rue,Chatham-Kent,Pain Court,Ontario,N0P1Z0,519-352-9442,42.39176,-82.2941,519-352-1614,http://www.CscProvidence.ca/ESPC
866569,B67300,École élémentaire catholique E.J. Lajeunesse,Catholic,Elementary,600 E.C. Row Ouest ave,Windsor,Windsor,Ontario,N9E1A5,,42.27687,-83.0208,,CscProvidence.ca/EJL
707880,B67300,École élémentaire catholique Frère André,Catholic,Elementary,400 Base Line Ouest rue,London,London,Ontario,N6J1W1,519-471-6750,42.96323,-81.2789,519-471-6680,http://www.CscProvidence.ca/Frere-Andre
708054,B67300,École élémentaire catholique Georges P Vanier,Catholic,Elementary,6200 Edgar rue,Windsor,Windsor,Ontario,N8S2A6,519-948-7786,42.32452,-82.9593,519-948-9481,http://www.CSCProvidence.ca/Georges-P-Vanier
732400,B67300,École élémentaire catholique Monseigneur Augustin Caron,Catholic,Elementary,8200 Matchette rue,LaSalle,LaSalle,Ontario,N9J3P1,519-978-3018,42.20613,-83.0765,519-734-1380,http://www.CscProvidence.ca/Monseigneur-Augustin-Caron
797359,B67300,École élémentaire catholique Monseigneur Jean Noël,Catholic,Elementary,3225 California avenue,Windsor,Windsor,Ontario,N9E3K5,519-966-8825,42.25885,-83.0346,519-966-6670,http://www.CscProvidence.ca/Monseigheur-Jean-Noel
695025,B67300,École élémentaire catholique Monseigneur-Bruyère,Catholic,Elementary,920 Huron rue,London,London,Ontario,N5Y4K4,519-675-0788,43.01551,-81.2326,519-673-4223,http://www.CscProvidence.ca/Monseigneur-Bruyere
765865,B67300,École élémentaire catholique Notre-Dame,Catholic,Elementary,700 Bristol rue,Woodstock,Woodstock,Ontario,N4T0E4,,43.1493,-80.7151,226-777-1956,http://www.CscProvidence.ca/Notre-Dame
705349,B67300,École élémentaire catholique Pavillon des Jeunes,Catholic,Elementary,326 Rourke Line,Lakeshore,Belle Riviere,Ontario,N0R1A0,519-727-5160,42.28787,-82.7335,519-727-6044,http://www.CscProvidence.ca/PavillonDesJeunes
768138,B67300,École élémentaire catholique Saint-Ambroise,Catholic,Elementary,2716 42 route,Lakeshore,St. Joachim,Ontario,N0R1S0,519-728-1277,42.27229,-82.63581,519-728-2010,http://www.CscProvidence.ca/Saint-Ambroise
774901,B67300,École élémentaire catholique Saint-Antoine,Catholic,Elementary,1317 Lesperance chemin,Tecumseh,Tecumseh,Ontario,N8N1X6,519-979-4681,42.30149,-82.8844,519-735-2165,http://www.CscProvidence.ca/Saint-Antoine
787515,B67300,École élémentaire catholique Saint-Edmond,Catholic,Elementary,1880 Totten rue,Windsor,Windsor,Ontario,N9B1X3,519-945-4084,42.28933,-83.0473,519-945-0924,http://www.CscProvidence.ca/Saint-Edmond
791288,B67300,École élémentaire catholique Saint-Francis,Catholic,Elementary,11 St Clair rue,Chatham-Kent,Tilbury,Ontario,N0P2L0,519-682-1715,42.25923,-82.4351,519-682-3243,http://www.CscProvidence.ca/Saint-Francis
792187,B67300,École élémentaire catholique Saint-François-Xavier,Catholic,Elementary,901 Les Rapides promenade,Sarnia,Sarnia,Ontario,N7S6K2,519-542-2841,42.99359,-82.3537,519-542-1055,http://www.CscProvidence.ca/Saint-Francois-Xavier
804150,B67300,École élémentaire catholique Saint-Jean-Baptiste,Catholic,Elementary,365 Fryer rue,Amherstburg,Amherstburg,Ontario,N9V0C3,519-736-8246,42.09782,-83.0985,519-736-6427,http://www.CscProvidence.ca/Saint-Jean-Baptiste
715539,B67300,École élémentaire catholique Saint-Jean-de-Brébeuf,Catholic,Elementary,270 Chelton chemin,London,London,Ontario,N6M0B9,519-963-1403,42.95817,-81.1761,519-963-1219,http://www.CscProvidence.ca/Saint-Jean-de-Brebeuf
832626,B67300,École élémentaire catholique Saint-Michel,Catholic,Elementary,33 Sherman rue,Leamington,Leamington,Ontario,N8H5H6,519-326-1736,42.04378,-82.5942,519-326-6125,http://www.CscProvidence.ca/Saint-Michel
863009,B67300,École élémentaire catholique Saint-Paul,Catholic,Elementary,840 Comber Side Road,Lakeshore,Pointe-aux- Roches,Ontario,N0R1N0,519-798-5777,42.30625,-82.54787,519-798-3022,http://www.CscProvidence.ca/Saint-Paul
845639,B67300,École élémentaire catholique Saint-Philippe,Catholic,Elementary,7195 St-Philippe line,Chatham-Kent,Grande Pointe,Ontario,N0P1S0,519-354-7969,42.46257,-82.3183,519-352-9579,http://www.CscProvidence.ca/Saint-Philippe
855375,B67300,École élémentaire catholique Saint-Thomas-d'Aquin,Catholic,Elementary,931 Champlain chemin,Sarnia,Sarnia,Ontario,N7V2E9,519-542-4935,42.99956,-82.3767,519-542-5423,http://www.CscProvidence.ca/Saint-Thomas-dAquin
861170,B67300,École élémentaire catholique Sainte-Catherine,Catholic,Elementary,24162 Winterline chemin,Chatham-Kent,Pain Court,Ontario,N0P1Z0,519-354-4908,42.39183,-82.2917,519-354-2913,http://www.CscProvidence.ca/Sainte-Catherine
730327,B67300,École élémentaire catholique Sainte-Marguerite-Bourgeoys,Catholic,Elementary,700 Bristol rue,Woodstock,Woodstock,Ontario,N4T0E4,519-539-7231,43.14222,-80.7516,519-539-2911,http://www.CscProvidence.ca/Sainte-Marguerite-Bourgeoys
822540,B67300,École élémentaire catholique Sainte-Marie,Catholic,Elementary,90 Dale promenade,Chatham-Kent,Chatham,Ontario,N7L0B2,519-354-6475,42.40038,-82.2282,519-354-1225,http://www.CscProvidence.ca/Sainte-Marie
863394,B67300,École élémentaire catholique Sainte-Thérèse,Catholic,Elementary,5305 Tecumseh Est rue,Windsor,Windsor,Ontario,N8T1C5,519-945-3583,42.30812,-82.96,519-945-2628,http://www.CscProvidence.ca/Sainte-Therese
863726,B67300,École élémentaire catholique Sainte-Ursule,Catholic,Elementary,573 Grondin rue,Essex,McGregor,Ontario,N0R1J0,519-726-4003,42.1449,-82.9682,519-726-6114,http://www.CscProvidence.ca/Sainte-Ursule
728659,B67300,École élémentaire catholique St-Dominique-Savio,Catholic,Elementary,800 23e est rue,Owen Sound,Owen Sound,Ontario,N4K6Z5,226-277-0035,44.56424,-80.9251,519-371-0627,http://www.CscProvidence.ca/Saint-Dominique-Savio
701777,B67300,École élémentaire catholique Ste-Jeanne-d'Arc,Catholic,Elementary,35 Fallons Lane,London,London,Ontario,N5V5C1,519-457-7197,43.02523,-81.2024,519-457-3141,http://www.CscProvidence.ca/Sainte-Jeanne-dArc
761907,B67300,École élémentaire catholique Ste-Marguerite-d'Youville,Catholic,Elementary,13025 St. Thomas rue,Tecumseh,Tecumseh,Ontario,N8N3P3,519-735-1004,42.32098,-82.8742,519-735-5766,http://www.CscProvidence.ca/Sainte-Marquerite-dYouville
822786,B67300,École élémentaire catholique l'Essor,Catholic,Elementary,13605 St. Gregory chemin,Tecumseh,Tecumseh,Ontario,N8N3E4,,42.3137,-82.864,519-735-4115,http://www.CscProvidence.ca/lEssor
069051,B66311,École intermédiaire Pierre-de-Blois,Public,Elementary,4025 Strandherd promenade,Ottawa,Nepean,Ontario,K2J6E1,,45.2627,-75.75915,613-742-1867,
616160,B66311,École intermédiaire Rivière-Rideau,Public,Elementary,830 Prescott Street,North Grenville,Kemptville,Ontario,K0G1J0,613-258-7641,44.98287,-75.5123,613-258-1555,www.kemptville.cepeo.on.ca
900516,B66311,École publique Centre d'éducation et de formation de,Public,Secondary,429 Abbott rue,Hawkesbury,Hawkesbury,Ontario,K6A2E2,613-632-0413,45.31442,-75.0879,613-632-4100,www.cefeo-eoetc.on.ca
922609,B66311,École secondaire des adultes Le Carrefour,Public,Secondary,2445 St-Laurent boulevard,Ottawa,Ottawa,Ontario,K1G6C3,613-731-9629,45.38126,-75.6264,613-731-7212,carrefour.cepeo.on.ca
891328,B66311,École secondaire publique Campus secondaire l'Héritage,Public,Secondary,33 Lochiel Street,North Glengarry,Alexandria,Ontario,K0C1A0,,45.306,-74.6314,,
907430,B66311,École secondaire publique De La Salle,Public,Secondary,501 ancienne St-Patrick rue,Ottawa,Ottawa,Ontario,K1N8R3,613-789-1545,45.43495,-75.6849,613-789-0053,http://www.de-la-salle.cepeo.on.ca
912662,B66311,École secondaire publique Gisèle-Lalonde,Public,Secondary,500 Millennium boulevard,Ottawa,Orléans,Ontario,K4A4X3,613-833-3030,45.46873,-75.4453,613-833-0018,http://www.gisele-lalonde.cepeo.on.ca
898582,B66311,École secondaire publique L'Académie de la Seigneurie,Public,Secondary,731 des Pommiers rue,Casselman,Casselman,Ontario,K0A1M0,613-764-0110,45.30454,-75.0903,613-764-0550,www.academiedelaseigneurie.cepeo.on.ca
920550,B66311,École secondaire publique L'Alternative,Public,Secondary,2445 St-Laurent boulevard,Ottawa,Ottawa,Ontario,K1G6C3,613-745-1263,45.38116,-75.6263,613-745-0369,http://www.alternative.cepeo.on.ca
907464,B66311,École secondaire publique L'Héritage,Public,Secondary,1111 Montréal chemin,Cornwall,Cornwall,Ontario,K6H1E1,613-938-5445,45.01868,-74.7002,613-933-3318,http://www.heritage.cepeo.on.ca
907480,B66311,École secondaire publique L'Équinoxe,Public,Secondary,399 Isabella rue,Renfrew,PEMBROKE,Ontario,K8A5T4,613-732-1544,45.82461,-77.1217,613-732-1525,http://www.equinoxe.cepeo.on.ca
949540,B66311,École secondaire publique Le Sommet,Public,Secondary,894 Cécile boulevard,Champlain,Hawkesbury,Ontario,K6A3R5,613-632-7808,45.60333,-74.5987,613-632-6059,http://www.lesommet.cepeo.on.ca
904945,B66311,École secondaire publique Louis-Riel,Public,Secondary,1655 Bearbrook chemin,Ottawa,Gloucester,Ontario,K1B4N3,613-837-6069,45.4411,-75.5716,613-590-2233,http://www.louis-riel.cepeo.on.ca
901539,B66311,École secondaire publique Marc-Garneau,Public,Secondary,30 Fullerton avenue,Quinte West,Trenton,Ontario,K8V1E4,613-392-6759,44.1137,-77.5546,613-392-6961,http://www.marc-garneau.cepeo.on.ca
930144,B66311,École secondaire publique Maurice-Lapointe,Public,Secondary,17 BRIDGESTONE DR,Ottawa,KANATA,Ontario,K2M0E9,613-823-2288,45.27875,-75.8587,613-591-5384,http://www.maurice-lapointe.cepeo.on.ca
907472,B66311,École secondaire publique Mille-Iles,Public,Secondary,158 Patrick rue,Kingston,Kingston,Ontario,K7K3P5,613-547-4758,44.24236,-76.5259,613-547-2556,http://www.mille-iles.cepeo.on.ca
907421,B66311,École secondaire publique Omer-Deslauriers,Public,Secondary,159 Chesterton promenade,Ottawa,Ottawa,Ontario,K2E7E6,613-820-9012,45.35007,-75.7166,613-820-0992,www.deslauriers.cepeo.on.ca
890139,B66311,École secondaire publique Pierre-de-Blois,Public,Secondary,1310 Chapman Mills Drive,Ottawa,Nepean,Ontario,K2J6L9,,45.26292,-75.75893,613-825-4232,https://pierre-de-blois.cepeo.on.ca/
903237,B66311,École secondaire publique Rivière-Rideau,Public,Secondary,30 Heritage Boulevard,North Grenville,Kemptville,Ontario,K0G1J0,613-258-7641,45.028209929,-75.678235399,613-258-1555,https://riviere-rideau.cepeo.on.ca/
488291,B66311,École élémentaire publique Carrefour Jeunesse,Public,Elementary,927 St-Jean rue,Clarence-Rockland,Rockland,Ontario,K4K1P4,613-446-6083,45.54392,-75.2882,613-446-1248,http://www.carrefour-jeunesse.cepeo.on.ca/
412597,B66311,École élémentaire publique Charlotte Lemieux,Public,Elementary,2093 Bel-Air promenade,Ottawa,Ottawa,Ontario,K2C0X2,613-225-6567,45.36288,-75.7631,613-225-1113,http://www.charlotte-lemieux.cepeo.on.ca/
000230,B66311,École élémentaire publique Cité Jeunesse,Public,Elementary,30 Fullerton avenue,Quinte West,Trenton,Ontario,K8V1E4,613-392-6759,44.11389,-77.5547,613-392-6961,http://www.cite-jeunesse.cepeo.on.ca
079839,B66311,École élémentaire publique De la Rivière Castor,Public,Elementary,100 Maheu rue,Russell,Embrun,Ontario,K0A1W0,613-443-5024,45.27611,-75.2882,613-443-2226,http://www.riviere-castor.cepeo.on.ca/
138681,B66311,École élémentaire publique De la Salle,Public,Elementary,501 ancienne St-Patrick rue,Ottawa,Ottawa,Ontario,K1N8R3,613-789-1545,45.43476,-75.6842,613-789-0053,www.de-la-salle.cepeo.on.ca
417726,B66311,École élémentaire publique Des Sentiers,Public,Elementary,2159 Nantes rue,Ottawa,Orléans,Ontario,K4A4C4,613-834-7131,45.4595,-75.4612,613-834-4453,www.des-sentiers.cepeo.on.ca
419796,B66311,École élémentaire publique Francojeunesse,Public,Elementary,119 Osgoode rue,Ottawa,Ottawa,Ontario,K1N6S3,613-565-1546,45.42798,-75.6796,613-232-0020,http://www.francojeunesse.cepeo.on.ca/Ecole/
204986,B66311,École élémentaire publique Gabrielle-Roy,Public,Elementary,3395 Daoust avenue,Ottawa,Gloucester,Ontario,K1T4A8,613-733-1894,45.34868,-75.6347,613-733-8301,www.gabrielle-roy.cepeo.on.ca
215970,B66311,École élémentaire publique Gisèle-Lalonde,Public,Elementary,500 Millennium boulevard,Ottawa,Orléans,Ontario,K4A4X3,613-833-3030,45.46867,-75.4452,613-833-0018,http://www.gisele-lalonde.cepeo.on.ca
287180,B66311,École élémentaire publique Grande-Ourse,Public,Elementary,1385 Halton terrasse,Ottawa,Kanata,Ontario,K2K2P9,613-270-1066,45.3485,-75.9367,613-270-1043,http://www.kanata.cepeo.on.ca
194239,B66311,École élémentaire publique Jeanne-Sauvé,Public,Elementary,1917 Gardenway chemin,Ottawa,Orléans,Ontario,K4A2Y7,613-824-3119,45.46539,-75.4853,613-824-9217,http://www.jeanne-sauve.cepeo.on.ca/
196502,B66311,École élémentaire publique L'Académie de la Seigneurie,Public,Elementary,731 des Pommiers rue,Casselman,Casselman,Ontario,K0A1M0,613-764-0110,45.30454,-75.09,613-764-0550,www.academiedelaseigneurie.cepeo.on.ca
302864,B66311,École élémentaire publique L'Héritage,Public,Elementary,1111 Montréal chemin,Cornwall,Cornwall,Ontario,K6H1E1,613-938-5445,45.01831,-74.6996,613-933-3318,http://www.heritage.cepeo.on.ca
156108,B66311,École élémentaire publique L'Odyssée,Public,Elementary,1770 Grey Nuns promenade,Ottawa,Orléans,Ontario,K1C1C3,613-834-3614,45.46841,-75.536,613-834-2097,http://www.odyssee.cepeo.on.ca
439568,B66311,École élémentaire publique L'Équinoxe,Public,Elementary,399 Isabella rue,Pembroke,PEMBROKE,Ontario,K8A5T4,613-732-1544,45.82381,-77.1216,613-732-1525,http://www.equinoxe.cepeo.on.ca
540030,B66311,École élémentaire publique Le Prélude,Public,Elementary,6025 Longleaf promenade,Ottawa,Orléans,Ontario,K1W1G3,613-834-8683,45.43751,-75.5301,613-834-8411,http://www.prelude.cepeo.on.ca
313190,B66311,École élémentaire publique Le Sommet,Public,Elementary,894 Cécile boulevard,Champlain,Hawkesbury,Ontario,K6A3R5,613-632-7808,45.60264,-74.5992,613-632-6059,http://www.lesommet.cepeo.on.ca
323187,B66311,École élémentaire publique Louis-Riel,Public,Elementary,1655 Bearbrook chemin,Ottawa,Gloucester,Ontario,K1B4N3,613-837-6069,45.4416,-75.5708,613-590-2233,http://www.louis-riel.cepeo.on.ca
242420,B66311,École élémentaire publique Louise-Arbour,Public,Elementary,175 Beech rue,Ottawa,Ottawa,Ontario,K1Y3T1,,45.3992,-75.7151,,http://www.centre-nord.cepeo.on.ca
384771,B66311,École élémentaire publique Madeleine-de-Roybon,Public,Elementary,72 Gilmour avenue,Kingston,Kingston,Ontario,K7M9G6,613-547-4758,44.24234,-76.5259,613-547-2556,http://www.madeleine-de-roybon.cepeo.on.ca
167811,B66311,École élémentaire publique Mamawi,Public,Elementary,20 Harrison Street,Ottawa,Nepean,Ontario,K2H7N5,613-596-1696,45.33672,-75.7881,613-596-2130,https://mamawi.cepeo.on.ca/
488550,B66311,École élémentaire publique Marc-Garneau,Public,Elementary,30 Fullerton avenue,Quinte West,Trenton,Ontario,K8V1E4,613-392-6759,44.1134,-77.556,613-392-6961,www.marc-garneau.cepeo.on.ca
164852,B66311,École élémentaire publique Marie-Curie,Public,Elementary,1485 Heron Road,Ottawa,Ottawa,Ontario,K1V6A6,613-523-9108,45.38023115,-75.654306271,613-523-4975,http://www.marie-curie.cepeo.on.ca
247352,B66311,École élémentaire publique Maurice-Lapointe,Public,Elementary,17 BRIDGESTONE DR,Ottawa,KANATA,Ontario,K2M0E9,,45.27875,-75.8587,613-591-5384,http://www.maurice-lapointe.cepeo.on.ca
156051,B66311,École élémentaire publique Mauril-Bélanger,Public,Elementary,307 Montgomery rue,Ottawa,Vanier,Ontario,K1L7W8,613-744-6759,45.43266,-75.6673,613-744-8523,www.trillium.cepeo.on.ca
327445,B66311,École élémentaire publique Michaëlle-Jean,Public,Elementary,11 Claridge promenade,Ottawa,Barrhaven,Ontario,K2J5A3,613-823-5989,45.2882,-75.7263,613-823-2288,www.michaelle-jean.cepeo.on.ca
530457,B66311,École élémentaire publique Michel-Dupuis,Public,Elementary,715 Brian Good avenue,Ottawa,Ottawa,Ontario,K4M1B2,,45.26721,-75.6932,613-742-1867,https://michel-dupuis.cepeo.on.ca/
064491,B66311,École élémentaire publique Mille-Iles,Public,Elementary,1290 Wheathill Street,Kingston,Kingston,Ontario,K7M0A7,613-547-4758,44.2425,-76.5259,613-547-2556,http://www.mille-iles.cepeo.on.ca
250627,B66311,École élémentaire publique Nouvel Horizon,Public,Elementary,433 Cartier boulevard,Hawkesbury,Hawkesbury,Ontario,K6A1V9,613-632-1744,45.60632,-74.6013,613-632-8718,http://www.nouvel-horizon.cepeo.on.ca
156035,B66311,École élémentaire publique Omer-Deslauriers,Public,Elementary,159 Chesterton promenade,Ottawa,Nepean,Ontario,K2E7E6,613-820-9012,45.3496,-75.7166,613-820-0992,www.deslauriers.cepeo.on.ca
208944,B66311,École élémentaire publique Rivière-Rideau,Public,Elementary,51 Academic Crescent,North Grenville,Kemptville,Ontario,K0G1J0,613-258-7641,45.00848,-75.6377,613-258-1555,www.kemptville.cepeo.on.ca
383392,B66311,École élémentaire publique Rose des Vents,Public,Elementary,1650 2ième Rue Est,Cornwall,Cornwall,Ontario,K6H2C3,613-932-8055,45.03157,-74.6936,613-932-4183,http://www.rose-des-vents.cepeo.on.ca
195774,B66311,École élémentaire publique Séraphin-Marion,Public,Elementary,2147 Loyola avenue,Ottawa,Ottawa,Ontario,K1J7W3,613-748-6346,45.4527,-75.5922,613-748-7636,http://www.seraphin-marion.cepeo.on.ca
383376,B66311,École élémentaire publique Terre des Jeunes,Public,Elementary,33 Lochiel Est rue,North Glengarry,Alexandria,Ontario,K0C1A0,613-525-1922,45.306,-74.6314,613-525-1843,http://www.terre-des-jeunes.cepeo.on.ca/
559458,B66311,École élémentaire publique Trille des Bois,Public,Elementary,140 Genest rue,Ottawa,Vanier,Ontario,K1L7Y9,613-746-1703,45.4397,-75.6706,613-746-6911,www.trille-des-bois.cepeo.on.ca
353055,B66311,École élémentaire publique ÉÉP Barrhaven-Manotick,Public,Elementary,110 Robin Easey Avenue,Ottawa,Ottawa,Ontario,K2C3H2,,45.23844,-75.73736,613-742-8960,
000590,B66150,A K Wigg Public School,Public,Elementary,1337 Haist St,Pelham,Fonthill,Ontario,L0S1E0,905-892-0660,43.03803,-79.2939,905-892-2605,http://akwigg.dsbn.org/
890200,B66150,A N Myer Secondary School,Public,Secondary,6338 Oneil St,Niagara Falls,Niagara Falls,Ontario,L2J1M7,905-358-0788,43.12239,-79.1023,905-358-5753,http://anmyer.dsbn.org/
505005,B66150,Applewood Public School,Public,Elementary,130 Woodrow St,St. Catharines,St Catharines,Ontario,L2P3T7,905-684-3896,43.14727,-79.2028,905-684-4359,http://applewood.dsbn.org/
070661,B66150,Burleigh Hill Public School,Public,Elementary,15 Burleigh Hill Dr,St. Catharines,St Catharines,Ontario,L2T2V6,905-227-1127,43.13334,-79.2181,905-227-6641,http://burleighhill.dsbn.org/
073784,B66150,Caistor Central Public School,Public,Elementary,1794 Caistor Centre Road,West Lincoln,Caistor Centre,Ontario,L0R1E0,905-957-5550,43.0752,-79.6525,905-957-7473,http://caistor.dsbn.org/
084700,B66150,Carleton Public School,Public,Elementary,1 Carlton Park Dr,St. Catharines,St Catharines,Ontario,L2M4M9,905-934-6202,43.18614,-79.213,905-934-5243,http://carleton.dsbn.org/
094978,B66150,Central Public School,Public,Elementary,10 Livingston Ave,Grimsby,Grimsby,Ontario,L3M1K7,905-945-6185,43.19614,-79.5667,905-945-5459,http://central.dsbn.org/
105767,B66150,Cherrywood Acres Public School,Public,Elementary,4635 Pettit Ave,Niagara Falls,Niagara Falls,Ontario,L2E6L4,905-356-5759,43.10616,-79.1063,905-356-2801,http://cherrywood.dsbn.org/
121754,B66150,Connaught Public School,Public,Elementary,28 Prince St,St. Catharines,St Catharines,Ontario,L2R3X7,905-682-5881,43.16449,-79.2288,905-682-6609,http://connaught.dsbn.org/
235750,B66150,Crossroads Public School,Public,Elementary,1350 Niagara Stone Road,Niagara-on-the-Lake,Niagara on the Lake,Ontario,L0S1J0,,43.2164,-79.1303,,http://crossroads.dsbn.org/
547449,B66150,DSBN Academy,Public,Elementary,130 Louth Street,St. Catharines,St. Catharines,Ontario,L2S2T4,,43.1384,-79.2573,,http://academy.dsbn.org/
935455,B66150,DSBN Academy,Public,Secondary,130 Louth Street,St. Catharines,St. Catharines,Ontario,L2S2T4,905-684-5169,43.1384,-79.2573,905-684-8708,
131890,B66150,Dalewood Public School,Public,Elementary,61 Duncan Dr,St. Catharines,St Catharines,Ontario,L2N3P3,905-934-6287,43.20193,-79.2398,905-934-3325,http://dalewood.dsbn.org/
139823,B66150,DeWitt Carter Public School,Public,Elementary,435 Fares St,Port Colborne,Port Colborne,Ontario,L3K1X4,905-834-0107,42.8905,-79.2445,905-834-7440,http://dewittcarter.dsbn.org/
001793,B66150,Diamond Trail Public School,Public,Elementary,315 Southworth Street,Welland,Welland,Ontario,L3B1Z8,,42.97307,-79.2355,,
156418,B66150,E I McCulley Public School,Public,Elementary,16 Berkley Dr,St. Catharines,St Catharines,Ontario,L2M6B8,905-934-3723,43.18333,-79.2084,905-934-7344,http://eimcculley.dsbn.org/
906328,B66150,E L Crossley Secondary School,Public,Secondary,350 20 Hwy,Pelham,Fonthill,Ontario,L0S1E0,905-892-2637,43.0418,-79.3177,905-892-2635,http://elcrossley.dsbn.org/
906972,B66150,Eastdale Secondary School,Public,Secondary,170 Wellington St,Welland,Welland,Ontario,L3B1B3,905-714-0655,42.9871,-79.2252,905-734-7458,http://www.eastdale.ca/
907677,B66150,Eden High School,Public,Secondary,535 Lake St,St. Catharines,St Catharines,Ontario,L2N4H7,905-646-3815,43.19101,-79.2531,905-646-9884,http://www.eden.dsbn.org
165956,B66150,Edith Cavell Public School,Public,Elementary,1 Monck St,St. Catharines,St Catharines,Ontario,L2S1L5,905-684-7820,43.14763,-79.2496,905-684-6545,http://edithcavell.dsbn.org/
195596,B66150,Ferndale Public School,Public,Elementary,35 Ferndale Ave,St. Catharines,St Catharines,Ontario,L2P1V8,905-684-9084,43.15037,-79.2117,905-684-1101,http://ferndale.dsbn.org/
197416,B66150,Fitch Street Public School,Public,Elementary,164 Fitch St,Welland,Welland,Ontario,L3C4V5,905-732-0746,42.9952,-79.2623,905-732-3683,http://fitchstreet.dsbn.org/
326785,B66150,Forestview Public School,Public,Elementary,8406 Forestview Blvd,Niagara Falls,Niagara Falls,Ontario,L2H0B9,905-354-7313,43.08316,-79.1375,905-354-6261,http://forestview.dsbn.org/
207810,B66150,Gainsborough Central Public School,Public,Elementary,5459 Hwy 20 Hwy RR 2,West Lincoln,St Anns,Ontario,L0R1Y0,905-386-6255,43.04189,-79.5,905-386-6223,http://gainsborough.dsbn.org/
210358,B66150,Garrison Road Public School,Public,Elementary,1110 Garrison Rd,Fort Erie,Fort Erie,Ontario,L2A1N9,905-871-0076,42.90534,-78.9569,905-871-4830,http://garrisonroad.dsbn.org/
218600,B66150,Glendale Public School,Public,Elementary,24 Farnham Ave,Welland,Welland,Ontario,L3C3R1,905-735-2231,43.00777,-79.2554,905-735-5213,http://glendale.dsbn.org/
201138,B66150,Glynn A Green Public School,Public,Elementary,1353 Pelham St,Pelham,Fonthill,Ontario,L0S1E0,905-892-8675,43.03973,-79.2846,905-892-3821,http://glynnagreen.dsbn.org/
221856,B66150,Gordon Public School,Public,Elementary,468 Thorold Rd W,Welland,Welland,Ontario,L3C3W6,905-734-8127,43.00448,-79.2788,905-734-3730,http://gordon.dsbn.org/
914010,B66150,Governor Simcoe Secondary School,Public,Secondary,15 Glenview Ave,St. Catharines,St Catharines,Ontario,L2N2Z7,905-934-3389,43.20257,-79.234,905-934-4006,http://govsimcoe.dsbn.org/
225754,B66150,Gracefield Public School,Public,Elementary,117 Bayview Dr,St. Catharines,St Catharines,Ontario,L2N4Z7,905-934-1876,43.1955,-79.2815,905-934-1411,http://gracefield.dsbn.org/
226556,B66150,Grand Avenue Public School,Public,Elementary,14 Grand Ave,Grimsby,Grimsby,Ontario,L3M2R7,905-945-7203,43.19201,-79.5271,905-945-2227,http://grandave.dsbn.org/
228010,B66150,Grapeview Public School,Public,Elementary,106 First St Louth,St. Catharines,St Catharines,Ontario,L2R6P9,905-984-5740,43.1646,-79.2756,905-984-5517,http://grapeview.dsbn.org/
897646,B66150,Greater Fort Erie Secondary School,Public,Secondary,1640 Garrison Road,Fort Erie,Fort Erie,Ontario,L2A5M4,,42.90283,-78.9779,,
229520,B66150,Greendale Public School,Public,Elementary,5504 Montrose Rd,Niagara Falls,Niagara Falls,Ontario,L2H1K7,905-358-7533,43.09423,-79.1225,905-358-8111,http://greendale.dsbn.org/
294037,B66150,Harriet Tubman Public School,Public,Elementary,84 Henry Street,St. Catharines,St. Catharines,Ontario,L2R5V4,,43.16866,-79.2484,,
254223,B66150,Heximer Avenue Public School,Public,Elementary,6727 Heximer Ave,Niagara Falls,Niagara Falls,Ontario,L2G4T1,,43.0773,-79.1005,905-356-0932,http://heximer.dsbn.org/
281000,B66150,Jacob Beam Public School,Public,Elementary,4300 William St,Lincoln,Beamsville,Ontario,L0R1B0,905-563-3088,43.1656,-79.4792,905-563-8209,http://jacobbeam.dsbn.org/
